"","pid3","authoritarianism","violent","burn","court","recount","criticize","VIOLENT","SM"
"1135",NA,0.25,3,1,3,3,3,1,0
"1136","Democrat",0,3,3,3,4,3,0,1
"1137","Independent",0,5,5,5,5,5,1,1
"1138","Republican",0,5,4,5,5,2,0,1
"1139","Democrat",0.75,2,2,3,4,2,1,0
"1140","Democrat",0,1,1,3,4,3,1,0
"1141","Independent",0.75,2,1,2,3,1,0,0
"1142","Democrat",0,3,3,3,3,3,1,0
"1143","Democrat",0.25,4,4,1,3,1,0,1
"1144","Democrat",0,5,1,4,4,3,1,0
"1145",NA,0,4,5,3,5,2,1,1
"1146","Democrat",0,5,2,2,3,2,0,0
"1147","Republican",0,5,5,5,5,5,0,1
"1148","Republican",1,5,1,1,3,3,0,0
"1149","Republican",0.75,1,1,3,3,2,1,0
"1150","Independent",1,4,1,4,4,4,1,1
"1151","Democrat",0.75,3,1,3,3,3,1,1
"1152","Democrat",0,5,5,5,5,5,0,0
"1153","Republican",0.25,4,1,4,4,2,1,1
"1154","Independent",0.25,2,1,4,4,3,1,1
"1155",NA,0.5,2,2,3,5,3,1,1
"1156","Democrat",0.75,5,3,1,4,3,0,1
"1157","Republican",0.75,1,1,1,5,3,0,1
"1158","Republican",0.25,4,4,3,4,2,1,0
"1159","Democrat",0,5,1,3,3,3,0,1
"1160","Independent",0,2,3,3,4,3,1,1
"1161","Independent",1,2,1,1,5,3,1,0
"1162","Republican",0,2,1,3,4,2,1,0
"1163","Democrat",0,4,1,4,4,5,1,0
"1164","Republican",0.25,3,5,5,5,5,0,0
"1165","Independent",0,2,1,2,3,1,1,1
"1166","Republican",0,5,5,4,4,4,1,1
"1167","Independent",0,2,1,3,4,2,1,1
"1168","Democrat",0,4,4,2,4,2,0,0
"1169","Republican",1,3,1,3,3,1,0,0
"1170","Republican",0.5,2,1,3,3,1,1,1
"1171","Independent",0.5,2,1,3,3,3,1,0
"1172","Republican",0,5,5,2,4,2,0,1
"1173","Republican",0.25,5,4,5,5,2,1,1
"1174","Democrat",0,1,1,3,4,2,0,0
"1175","Republican",0,5,3,3,4,1,0,0
"1176","Independent",0.75,3,1,2,4,3,1,1
"1177","Republican",0.25,5,4,4,5,2,0,1
"1178","Independent",0.25,2,2,4,5,3,1,1
"1179","Democrat",0.25,4,3,5,5,4,1,0
"1180","Democrat",0,5,5,5,5,5,0,0
"1181","Independent",0.75,1,1,1,3,1,1,0
"1182","Democrat",1,2,3,4,4,3,1,1
"1183","Democrat",0.5,4,2,2,3,1,0,1
"1184","Republican",0,5,4,5,4,4,0,0
"1185","Democrat",1,3,3,4,4,3,0,1
"1186","Republican",1,4,1,3,3,3,0,1
"1187","Independent",0.5,1,1,3,5,3,1,1
"1188","Democrat",0,5,4,5,5,5,1,0
"1189","Republican",0,5,1,2,4,3,0,0
"1190","Independent",0.25,1,1,2,4,3,1,0
"1191",NA,0.75,1,1,3,3,4,0,1
"1192","Republican",0,3,3,4,3,4,1,0
"1193","Democrat",0,5,2,5,5,4,0,0
"1194","Independent",1,2,1,3,3,3,0,1
"1195","Republican",0.25,2,1,3,4,3,1,1
"1196","Democrat",0,3,1,1,3,1,1,0
"1197","Independent",0.5,1,1,1,5,1,0,0
"1198","Republican",0.25,3,1,1,3,3,0,1
"1199","Independent",0.75,2,1,2,3,3,1,1
"1200","Independent",0.75,1,1,1,3,2,1,0
"1201","Republican",1,1,1,2,3,1,0,1
"1202","Independent",0.75,4,1,4,5,4,0,1
"1203","Independent",1,1,1,4,4,4,1,0
"1204","Independent",0.75,3,2,3,3,3,0,0
"1205","Democrat",0,3,3,3,3,3,0,1
"1206","Independent",0.5,4,1,5,5,5,0,0
"1207","Independent",1,1,1,4,4,4,1,1
"1208","Independent",1,2,1,3,4,4,0,1
"1209","Independent",0.25,1,1,4,4,3,1,0
"1210","Independent",0.75,2,1,1,4,1,0,1
"1211","Republican",0,5,4,4,4,3,0,0
"1212","Republican",0.25,2,3,3,4,5,1,0
"1213","Independent",1,1,1,3,3,3,0,1
"1214","Republican",0.25,4,1,2,3,2,0,1
"1215","Republican",0.25,5,4,3,4,3,0,1
"1216","Democrat",0.75,2,1,1,4,1,0,1
"1217","Independent",0.75,1,1,3,4,3,1,0
"1218","Independent",1,1,1,3,4,3,0,1
"1219","Republican",0.5,3,1,2,3,3,0,1
"1220","Republican",1,1,1,3,4,4,1,0
"1221","Democrat",0.25,3,1,3,3,3,0,0
"1222","Democrat",0.25,3,1,3,4,3,1,1
"1223","Republican",0,5,3,3,3,3,0,0
"1224","Republican",0,5,4,5,5,2,1,1
"1225","Republican",0.25,3,1,4,4,2,1,1
"1226","Republican",1,2,1,3,3,3,0,0
"1227","Republican",0.5,3,4,5,5,3,0,0
"1228","Independent",0.75,1,1,3,4,2,1,1
"1229","Democrat",0,5,1,5,5,3,1,1
"1230","Independent",1,3,1,3,4,4,0,0
"1231","Democrat",0.5,3,2,2,3,3,0,0
"1232","Independent",0.5,1,1,4,4,5,1,1
"1233","Democrat",0.25,4,2,4,4,3,0,1
"1234","Democrat",0.75,1,1,1,5,5,1,0
"1235","Republican",0.25,4,2,2,2,2,1,1
"1236","Republican",0.25,3,3,3,3,3,0,0
"1237","Democrat",0,5,3,5,5,1,0,1
"1238","Independent",0.25,1,1,1,4,3,0,1
"1239","Independent",1,3,3,3,4,4,0,0
"1240","Independent",0,3,1,4,4,3,0,0
"1241","Republican",0.5,1,1,1,3,1,1,1
"1242","Republican",0,3,3,4,4,2,1,0
"1243","Republican",0.75,4,2,3,4,1,0,1
"1244","Democrat",0,5,5,4,4,1,1,0
"1245","Democrat",0,5,3,3,4,3,0,0
"1246","Republican",0.25,2,1,1,3,2,1,0
"1247","Democrat",0.25,3,3,3,5,1,1,1
"1248",NA,0.25,4,2,3,4,1,0,1
"1249",NA,0,2,1,3,4,2,0,0
"1250","Democrat",0.5,4,1,3,4,2,1,1
"1251","Republican",0.75,3,1,4,4,3,1,1
"1252","Republican",1,1,1,3,5,4,0,1
"1253","Republican",0.75,4,4,2,4,4,0,0
"1254","Republican",0.25,2,1,1,3,1,0,1
"1255","Independent",0.25,3,1,4,4,4,0,1
"1256","Republican",0,4,1,4,5,3,0,1
"1257","Republican",0.5,1,1,3,4,3,1,0
"1258","Democrat",1,1,3,1,2,1,1,0
"1259","Democrat",0,2,1,3,4,4,1,0
"1260","Democrat",0.25,3,3,3,5,1,0,1
"1261",NA,0.5,5,5,3,5,3,0,1
"1262",NA,0.75,2,2,4,3,2,1,0
"1263","Republican",0.25,1,1,5,5,5,0,1
"1264","Democrat",0.5,1,3,3,5,3,1,0
"1265","Republican",0,1,1,4,4,3,1,0
"1266","Republican",1,1,1,3,4,1,1,1
"1267","Republican",0.75,2,1,2,4,1,1,0
"1268","Independent",0.25,3,1,3,3,1,0,1
"1269","Republican",0.25,4,1,3,2,4,0,0
"1270","Independent",0.25,3,1,4,4,3,1,0
"1271",NA,0.75,2,1,4,3,3,0,1
"1272","Democrat",0,4,4,4,4,1,1,1
"1273","Democrat",0,4,1,2,4,2,1,0
"1274","Republican",0.75,2,2,2,2,2,0,1
"1275","Democrat",0.75,5,5,5,5,5,0,1
"1276","Democrat",0,4,2,4,4,3,0,0
"1277","Democrat",0.75,4,3,4,4,1,1,1
"1278","Republican",0.25,1,1,4,4,4,0,1
"1279","Republican",0.25,3,1,3,2,2,0,1
"1280",NA,0.5,3,1,1,3,3,0,1
"1281","Independent",0.5,5,4,5,4,5,0,0
"1282","Independent",0.75,2,1,5,5,3,1,0
"1283","Independent",1,1,1,4,2,5,1,1
"1284","Republican",1,2,2,3,4,1,1,1
"1285","Independent",0.75,1,1,1,5,3,1,0
"1286","Republican",0.25,1,1,3,3,1,1,0
"1287","Democrat",0.25,5,2,2,3,4,0,1
"1288","Democrat",0,5,5,5,5,3,0,0
"1289","Democrat",0,3,3,3,4,1,1,1
"1290","Republican",0.75,3,1,1,3,3,0,0
"1291","Republican",0.5,1,1,1,4,1,0,1
"1292","Democrat",1,1,1,3,4,5,0,0
"1293","Independent",0,3,1,2,3,3,1,0
"1294","Democrat",0.5,3,3,3,4,4,1,0
"1295",NA,0,2,1,3,3,3,0,0
"1296","Republican",0,3,2,3,4,3,0,0
"1297","Republican",0.75,2,1,3,4,3,1,0
"1298","Democrat",0,3,3,3,3,3,1,0
"1299","Independent",0.5,3,1,4,4,4,1,1
"1300","Independent",0.75,1,1,1,5,1,0,0
"1301","Democrat",0,4,3,4,4,2,0,1
"1302","Republican",0.25,4,4,2,4,1,1,1
"1303","Independent",0.5,3,1,1,4,2,0,0
"1304","Democrat",0,3,1,3,3,3,1,0
"1305","Independent",0.25,1,1,2,4,3,1,0
"1306","Republican",0.25,3,1,1,5,2,0,1
"1307","Democrat",0.75,5,1,3,4,4,0,1
"1308","Democrat",0,5,4,4,4,2,0,1
"1309","Republican",0,1,3,5,5,3,1,0
"1310","Republican",0,5,3,5,4,3,0,1
"1311","Democrat",0.25,4,3,4,5,3,1,0
"1312","Democrat",0.75,4,1,2,4,4,0,0
"1313","Democrat",0.75,5,2,4,4,5,0,1
"1314",NA,0.5,4,1,1,3,1,1,0
"1315","Democrat",0,4,3,4,4,3,0,0
"1316","Republican",1,1,1,1,4,2,1,0
"1317","Independent",0,2,1,4,4,2,1,1
"1318","Democrat",1,4,3,3,4,4,0,0
"1319",NA,1,1,1,3,3,3,1,1
"1320","Republican",1,3,1,1,4,3,0,1
"1321",NA,1,3,1,3,4,4,1,0
"1322",NA,0,2,1,2,4,3,0,1
"1323","Republican",0.75,3,1,4,5,3,1,0
"1324","Republican",0.5,1,1,1,2,2,0,1
"1325","Democrat",0.5,5,5,3,3,1,0,1
"1326",NA,0.5,5,2,4,4,4,0,1
"1327","Democrat",1,4,1,2,5,3,1,1
"1328","Independent",0.25,2,1,2,4,2,1,0
"1329","Republican",1,2,1,1,2,2,1,0
"1330","Independent",0.5,1,1,2,3,2,1,0
"1331","Independent",0.5,1,1,3,5,5,0,1
"1332","Democrat",0.5,2,2,3,4,1,1,0
"1333","Republican",0,5,5,5,5,4,1,1
"1334","Independent",0.75,3,1,3,3,3,0,1
"1335","Democrat",0,3,3,3,3,3,1,0
"1336","Republican",0.25,4,2,4,4,2,0,0
"1337","Republican",0.75,3,1,1,2,3,1,0
"1338","Independent",0,2,1,3,3,1,0,0
"1339","Democrat",0.25,4,4,4,3,5,1,1
"1340","Independent",0.25,3,1,3,4,1,1,1
"1341","Democrat",0.5,4,3,2,5,3,0,1
"1342","Independent",0.5,2,1,1,3,3,1,0
"1343","Democrat",0.5,4,1,3,5,3,0,1
"1344","Democrat",0.5,4,2,1,3,3,0,1
"1345","Democrat",0,4,4,3,4,3,1,0
"1346","Democrat",0,3,2,2,4,2,0,1
"1347","Democrat",0.75,4,5,3,4,5,1,1
"1348","Democrat",0,3,1,3,4,3,1,0
"1349","Republican",0.5,5,2,5,5,5,0,1
"1350",NA,1,3,1,2,2,3,0,0
"1351","Republican",0.75,1,1,1,1,1,0,0
"1352","Democrat",0.5,4,2,3,4,4,1,1
"1353","Republican",1,4,2,2,2,1,0,0
"1354",NA,0,5,3,4,4,4,1,0
"1355","Republican",1,1,1,1,1,1,0,1
"1356","Democrat",1,1,1,1,2,1,1,1
"1357","Republican",0,4,4,4,4,3,1,0
"1358","Democrat",0.25,4,2,3,3,2,1,0
"1359","Independent",0.5,1,1,3,4,3,0,1
"1360","Democrat",0.75,3,2,3,3,3,1,1
"1361","Democrat",0.75,2,4,3,5,4,1,0
"1362","Independent",0.75,4,1,4,4,3,0,1
"1363","Independent",1,3,1,5,5,3,1,1
"1364",NA,0.5,3,3,3,3,3,0,0
"1365","Republican",1,1,1,1,2,1,0,0
"1366","Republican",0.75,5,1,4,4,5,0,0
"1367","Independent",0.75,1,1,3,3,1,1,0
"1368","Republican",1,3,1,3,3,4,1,0
"1369","Democrat",1,4,5,3,2,2,0,0
"1370","Republican",0,3,3,3,4,3,0,0
"1371","Democrat",0.5,4,1,4,5,1,1,1
"1372",NA,0.25,3,1,4,5,4,1,0
"1373","Democrat",0,5,3,3,5,3,1,0
"1374","Independent",0.75,2,1,2,4,3,0,0
"1375","Independent",0.25,2,1,1,2,4,1,0
"1376","Democrat",0.5,3,1,2,4,2,0,1
"1377",NA,0.25,1,1,3,4,5,1,1
"1378","Republican",0.25,5,5,5,5,5,1,0
"1379","Republican",0,5,5,4,3,4,0,1
"1380","Republican",0.75,3,1,2,2,1,0,0
"1381",NA,0.5,1,1,3,3,3,1,0
"1382","Democrat",0,4,4,4,3,4,1,1
"1383","Independent",0.5,1,1,3,3,3,1,1
"1384","Democrat",0,3,5,3,5,5,1,0
"1385","Republican",0.5,4,2,4,3,4,0,0
"1386","Democrat",0.5,4,1,5,5,3,0,1
"1387","Independent",0.25,3,3,4,4,4,0,1
"1388","Democrat",0.75,3,1,3,3,3,1,0
"1389",NA,0.25,2,3,2,2,3,1,0
"1390",NA,0.75,2,1,3,3,3,1,0
"1391","Democrat",0.25,2,2,4,5,4,1,1
"1392","Independent",0.75,3,2,3,3,3,0,1
"1393","Independent",0.25,4,5,4,5,4,1,1
"1394","Independent",0.5,4,1,4,4,3,0,1
"1395","Republican",0.25,5,4,3,4,2,0,1
"1396","Democrat",0.25,4,3,3,5,3,1,0
"1397","Republican",0,1,1,2,4,2,0,0
"1398","Republican",0.5,3,3,3,3,3,0,0
"1399","Republican",0.25,2,1,4,4,2,0,0
"1400","Republican",1,3,1,3,5,1,1,0
"1401","Democrat",0.75,4,1,4,5,4,0,1
"1402","Republican",0.5,3,1,4,4,3,0,1
"1403","Independent",0.5,1,1,1,4,1,0,1
"1404","Independent",0.5,1,1,2,4,2,1,0
"1405","Democrat",0.5,5,3,5,4,3,0,1
"1406","Republican",0,5,1,2,5,1,0,1
"1407","Democrat",1,1,1,2,4,1,1,1
"1408","Independent",0.5,4,1,3,4,1,0,0
"1409","Democrat",0,5,5,5,5,5,1,0
"1410","Democrat",0,5,1,2,2,2,0,0
"1411",NA,0.25,3,2,4,3,3,1,1
"1412","Democrat",0.5,3,1,1,1,1,0,1
"1413","Republican",0.75,3,1,3,3,3,1,1
"1414","Democrat",0.25,2,3,2,2,3,1,0
"1415","Democrat",0.5,2,2,4,4,4,1,0
"1416","Republican",0.25,3,1,2,4,1,0,1
"1417","Independent",0.5,4,1,3,3,2,0,0
"1418","Republican",0.5,4,1,4,4,3,0,1
"1419",NA,0.5,4,4,3,3,3,0,0
"1420","Republican",0.25,3,1,3,4,1,0,1
"1421","Independent",0.5,2,1,2,3,1,1,1
"1422","Republican",0,5,2,3,4,3,1,1
"1423","Democrat",0.5,3,3,3,3,3,0,1
"1424","Republican",0.5,2,1,3,4,3,1,0
"1425","Independent",0.5,3,1,3,3,3,0,1
"1426","Democrat",0.75,4,3,5,5,1,1,1
"1427",NA,0.75,1,1,1,3,3,0,1
"1428","Democrat",0,5,5,3,4,1,1,0
"1429","Republican",0.75,2,2,2,4,2,0,0
"1430",NA,0.5,1,1,1,2,3,0,0
"1431","Democrat",0,5,5,5,5,3,1,1
"1432","Independent",0.25,1,1,3,4,3,1,0
"1433","Republican",0.5,5,4,4,5,5,1,1
"1434",NA,0.75,1,1,1,1,1,1,1
"1435","Republican",0,3,1,4,5,3,0,0
"1436","Independent",0.25,4,1,1,4,4,0,1
"1437","Republican",1,5,1,1,5,1,1,0
"1438","Democrat",0.5,2,1,2,4,2,1,1
"1439","Democrat",0.75,2,2,2,5,3,1,0
"1440","Democrat",0.5,5,2,2,5,1,1,0
"1441","Republican",0,4,3,3,4,3,1,1
"1442","Democrat",0.25,4,1,2,4,2,1,1
"1443","Democrat",1,3,1,4,4,1,0,1
"1444","Independent",0.5,5,1,3,5,5,1,0
"1445","Republican",1,3,1,2,4,3,0,1
"1446",NA,0.5,4,3,4,5,3,1,0
"1447","Democrat",0,4,5,5,4,5,0,0
"1448","Republican",0,3,1,3,3,3,0,1
"1449","Republican",0.25,3,3,3,3,3,1,0
"1450","Democrat",0,3,5,3,5,4,0,0
"1451",NA,1,3,1,3,3,3,1,0
"1452","Independent",0.25,5,3,4,2,4,1,1
"1453","Independent",0.5,4,3,4,4,4,0,0
"1454","Democrat",1,2,2,3,3,4,1,1
"1455","Republican",0.5,2,1,1,3,2,0,0
"1456","Democrat",0,4,4,3,4,2,1,1
"1457","Republican",0.25,3,3,3,3,4,1,1
"1458","Democrat",0.75,1,1,2,2,1,0,1
"1459","Republican",0.75,4,4,2,4,2,0,1
"1460","Democrat",1,2,1,3,4,3,1,0
"1461",NA,0.5,1,1,3,5,5,0,0
"1462","Democrat",0,5,5,4,4,5,1,0
"1463","Republican",0.75,3,1,3,4,3,0,0
"1464","Democrat",1,3,1,3,4,4,1,1
"1465","Republican",0.5,3,2,2,3,2,0,0
"1466","Democrat",0,4,3,2,3,1,0,0
"1467","Democrat",0.25,2,1,3,4,3,1,1
"1468","Republican",0,4,3,3,4,3,0,1
"1469","Independent",0.5,1,1,2,5,5,1,0
"1470",NA,0,4,3,2,3,3,0,0
"1471","Independent",0.75,1,1,1,3,1,1,0
"1472","Independent",0,1,1,1,3,1,1,1
"1473","Republican",1,3,1,3,3,3,0,1
"1474","Democrat",0.25,5,2,2,4,4,1,0
"1475",NA,0.25,3,3,3,4,2,0,1
"1476","Democrat",0.75,3,3,3,3,3,1,0
"1477",NA,0.75,2,1,2,3,3,1,1
"1478","Democrat",0.5,4,3,3,3,3,1,0
"1479","Democrat",0,4,5,5,4,5,1,1
"1480","Republican",0.5,4,5,5,5,4,0,1
"1481","Republican",0.5,2,2,4,4,4,1,1
"1482",NA,1,4,5,5,5,3,0,1
"1483","Republican",1,2,1,3,3,3,0,0
"1484","Democrat",0,5,5,4,4,3,1,1
"1485","Democrat",0.5,4,1,1,4,3,0,1
"1486","Republican",1,3,3,3,3,3,0,1
"1487","Democrat",0,3,3,3,3,3,1,0
"1488","Republican",0.5,3,1,3,4,2,0,1
"1489","Democrat",0,4,2,4,4,4,0,0
"1490","Independent",0.5,3,3,3,3,3,1,0
"1491","Republican",0.5,3,1,3,4,3,0,0
"1492","Democrat",0,5,3,5,5,3,0,0
"1493","Democrat",0.25,3,5,2,4,5,1,1
"1494","Democrat",0,4,5,3,4,3,1,1
"1495","Democrat",0.75,4,1,2,3,3,0,0
"1496","Independent",0.75,1,1,3,3,3,1,0
"1497","Democrat",0.75,4,4,3,4,2,1,1
"1498","Democrat",0.25,2,4,3,5,3,0,1
"1499","Democrat",0.5,2,1,1,4,3,0,0
"1500","Democrat",0,3,5,5,4,5,0,0
"1501","Independent",0.5,4,1,5,1,3,0,0
"1502","Democrat",0,3,1,3,5,4,1,1
"1503","Democrat",0,4,4,4,4,2,0,0
"1504","Democrat",0.25,4,4,3,3,1,0,0
"1505","Republican",0,2,1,2,4,3,1,0
"1506","Republican",0.25,2,1,4,4,3,1,1
"1507","Republican",0,5,5,4,4,2,0,1
"1508","Democrat",1,2,1,4,4,3,0,0
"1509","Republican",0.25,5,5,4,4,1,0,0
"1510","Independent",0.75,4,2,3,3,5,1,1
"1511","Independent",0.5,4,1,3,4,4,1,1
"1512","Republican",0,5,5,4,4,4,1,0
"1513","Independent",0.75,2,1,4,5,4,0,0
"1514",NA,0.75,3,3,3,4,1,0,1
"1515","Democrat",1,5,1,1,5,5,1,0
"1516","Republican",0.25,4,1,1,4,2,0,1
"1517","Republican",0.75,3,1,5,5,4,1,1
"1518","Independent",0.5,2,1,3,4,3,1,0
"1519","Republican",1,3,1,4,4,1,0,0
"1520","Independent",0.5,1,1,2,3,2,1,1
"1521","Democrat",0.25,5,5,5,5,5,1,0
"1522","Republican",0.5,2,1,4,4,1,0,1
"1523","Republican",0.5,1,1,1,4,1,1,1
"1524","Republican",1,2,1,3,1,3,0,1
"1525","Republican",0,1,1,2,4,1,1,1
"1526","Democrat",0,4,4,2,2,3,0,1
"1527","Democrat",0,1,2,4,4,1,1,0
"1528","Independent",0,4,4,3,4,4,0,0
"1529","Independent",0,1,1,1,3,1,0,1
"1530","Independent",0.75,1,1,3,5,5,1,0
"1531","Democrat",0,1,1,5,5,5,1,0
"1532","Independent",0.5,5,1,1,3,1,0,1
"1533",NA,0.5,3,3,3,3,3,0,1
"1534","Democrat",0.25,3,1,3,3,1,0,1
"1535","Independent",0.75,4,5,4,3,4,1,0
"1536","Independent",0.5,4,1,2,4,3,1,1
"1537","Democrat",0,3,4,3,3,4,0,0
"1538","Republican",0.75,2,1,1,1,1,1,0
"1539","Republican",0,3,2,4,4,3,0,1
"1540","Republican",0,5,4,4,4,3,0,0
"1541","Republican",0,4,2,1,4,2,0,0
"1542","Independent",0.75,4,1,4,4,3,0,1
"1543","Independent",1,1,1,3,3,3,1,0
"1544","Independent",0.75,1,1,1,1,1,1,1
"1545","Republican",0.5,3,1,3,3,2,0,0
"1546","Independent",0.5,5,1,3,5,3,0,0
"1547","Independent",0.25,2,1,3,4,3,1,0
"1548","Independent",0.25,1,1,1,4,4,1,0
"1549","Democrat",0.75,3,2,2,2,2,0,0
"1550","Republican",0,5,3,2,4,1,0,1
"1551","Republican",0.25,4,1,4,4,3,1,0
"1552","Republican",0.75,2,1,3,4,4,1,0
"1553",NA,0.75,3,3,3,3,3,0,1
"1554","Republican",0.75,3,1,3,4,3,0,1
"1555","Republican",0.5,2,1,4,4,4,0,0
"1556","Democrat",0.75,4,1,2,2,1,1,1
"1557","Independent",0.25,2,1,2,3,2,1,0
"1558",NA,0.5,3,3,3,3,4,0,1
"1559","Independent",0.75,1,1,1,1,1,1,1
"1560","Republican",0,1,1,1,1,5,1,1
"1561","Independent",0.25,3,1,3,3,3,0,0
"1562","Democrat",0.5,1,1,1,3,3,1,0
"1563",NA,0.75,3,3,3,3,3,1,1
"1564","Republican",0.25,3,5,3,5,3,0,1
"1565",NA,0,5,3,3,4,2,1,0
"1566","Republican",0,4,3,5,5,5,0,0
"1567","Democrat",0,4,3,3,4,2,0,1
"1568","Democrat",0.75,3,3,3,3,3,0,1
"1569","Republican",0,5,2,4,4,2,0,0
"1570",NA,1,3,1,3,5,3,0,1
"1571","Republican",1,2,1,2,3,2,0,0
"1572","Republican",0.25,3,3,3,3,3,1,0
"1573","Independent",0.5,1,1,3,4,1,0,1
"1574","Independent",1,2,1,2,3,1,0,1
"1575","Republican",0.25,4,2,4,1,1,1,0
"1576","Republican",0,3,1,1,1,3,0,0
"1577",NA,0.25,4,3,1,4,3,0,1
"1578","Independent",0.25,1,1,3,3,1,1,1
"1579",NA,0.25,1,1,3,4,2,1,1
"1580","Democrat",0.25,4,3,3,4,2,0,0
"1581","Democrat",0,2,1,4,5,2,1,0
"1582","Republican",0.5,5,5,5,4,5,0,1
"1583","Republican",0,4,2,3,4,3,1,1
"1584","Democrat",0.5,2,1,4,4,4,1,0
"1585",NA,0.25,5,5,4,4,4,0,0
"1586","Democrat",0.5,5,4,3,4,5,1,0
"1587","Democrat",0.25,5,2,4,5,4,0,0
"1588",NA,0,3,2,2,3,3,0,0
"1589","Republican",0.5,3,3,5,5,3,1,1
"1590","Democrat",0.25,2,1,1,3,1,1,0
"1591","Independent",0.5,4,2,4,4,1,1,1
"1592","Democrat",0,5,5,4,3,3,0,1
"1593","Republican",0,5,2,3,5,2,0,1
"1594","Republican",0,3,1,1,4,1,0,0
"1595","Independent",0.25,2,1,3,4,3,1,0
"1596","Democrat",0.75,1,1,1,5,5,0,1
"1597","Independent",0.25,2,1,3,3,2,1,0
"1598","Republican",1,3,3,3,5,4,1,1
"1599","Democrat",0.75,3,2,3,4,5,0,1
"1600","Democrat",1,4,3,4,4,3,0,1
"1601","Democrat",0.5,3,3,3,3,3,0,0
"1602","Democrat",0.25,4,1,5,5,5,0,1
"1603","Republican",0.75,3,3,3,3,4,0,1
"1604","Democrat",0,4,3,3,4,2,0,0
"1605","Independent",0.5,1,1,1,2,2,1,1
"1606","Democrat",0.5,2,2,4,2,2,1,1
"1607","Democrat",0,3,3,3,4,3,1,1
"1608","Independent",0.5,1,1,1,3,3,1,1
"1609","Independent",1,1,1,1,1,1,0,1
"1610","Democrat",0,2,1,3,3,2,0,1
"1611","Independent",1,1,1,1,5,5,1,0
"1612","Democrat",0,4,3,3,3,4,0,1
"1613","Republican",0.25,1,1,1,1,1,1,0
"1614","Independent",0,1,1,2,4,2,1,1
"1615","Republican",1,4,2,2,2,4,0,0
"1616","Republican",1,3,1,1,5,1,1,0
"1617","Republican",0.5,3,2,3,4,3,1,0
"1618","Republican",0.75,3,1,3,3,3,0,1
"1619","Independent",0.5,1,1,1,3,1,0,1
"1620","Republican",1,3,1,5,5,5,1,0
"1621","Independent",0.5,5,1,3,3,3,1,0
"1622","Independent",0,2,1,5,5,5,1,1
"1623","Independent",0.5,1,1,2,4,4,1,0
"1624","Republican",0.25,1,1,2,1,2,1,0
"1625",NA,0.25,5,5,4,4,3,0,1
"1626","Independent",0.75,2,1,4,5,4,0,0
"1627","Democrat",0,4,3,1,4,3,0,1
"1628","Democrat",0.75,3,1,3,4,3,0,1
"1629","Independent",0.75,2,1,2,4,3,0,0
"1630","Independent",0.75,2,1,3,3,3,0,0
"1631","Democrat",0.25,4,2,4,5,3,1,0
"1632","Democrat",1,3,1,3,4,2,1,0
"1633","Republican",0,4,2,4,4,3,0,1
"1634","Independent",0,4,3,3,3,2,0,0
"1635","Democrat",0,3,3,3,3,3,0,0
"1636","Democrat",0,1,1,3,5,3,0,0
"1637","Democrat",0.5,2,3,3,1,2,0,1
"1638",NA,0.75,4,4,3,3,4,0,1
"1639","Democrat",0.75,3,1,2,4,3,1,0
"1640","Democrat",0.5,5,4,5,5,5,1,0
"1641",NA,1,2,2,2,3,4,0,0
"1642","Democrat",0,1,1,4,4,1,1,1
"1643","Republican",0.75,3,1,3,3,3,0,0
"1644","Republican",0.75,3,3,3,3,3,0,0
"1645","Independent",0.25,4,2,3,3,5,0,0
"1646","Independent",1,1,1,3,3,1,1,1
"1647","Independent",0.75,2,1,2,3,2,1,0
"1648",NA,0,4,3,3,4,1,1,1
"1649",NA,0.75,3,3,3,3,3,1,0
"1650","Republican",0.75,1,1,5,5,5,1,1
"1651","Democrat",0,1,3,3,4,3,1,0
"1652","Independent",0.25,2,1,1,3,4,0,1
"1653","Independent",1,3,3,4,4,4,1,1
"1654","Democrat",0,1,1,3,3,4,1,1
"1655","Republican",1,3,5,2,1,4,0,1
"1656","Democrat",0.5,3,1,3,5,5,1,1
"1657","Independent",0.75,2,1,2,3,1,1,1
"1658","Independent",0.5,2,1,1,5,3,0,0
"1659","Democrat",0.5,4,1,3,5,2,1,1
"1660","Republican",1,2,2,3,3,3,1,0
"1661","Democrat",0.75,2,1,3,4,2,1,0
"1662",NA,0.75,3,2,1,3,4,1,0
"1663","Independent",0.75,2,2,3,4,4,0,1
"1664","Democrat",1,1,3,5,4,4,0,1
"1665","Republican",1,3,3,3,3,3,0,1
"1666","Democrat",0.5,4,1,5,5,4,0,1
"1667","Independent",0.5,4,1,2,4,3,0,1
"1668","Independent",1,2,1,4,2,3,1,1
"1669","Democrat",0.5,1,1,2,1,5,0,0
"1670","Republican",0.25,1,1,1,1,1,0,1
"1671","Democrat",1,3,4,4,4,3,0,1
"1672","Independent",1,5,1,4,4,3,0,0
"1673","Democrat",1,2,1,3,5,4,1,0
"1674","Republican",0.25,2,2,3,3,1,0,0
"1675","Democrat",0,2,1,4,4,1,1,0
"1676","Democrat",1,3,1,3,5,1,1,0
"1677","Republican",0.25,3,1,4,5,3,1,0
"1678","Democrat",0.5,3,1,3,4,3,0,0
"1679","Democrat",0,3,3,3,4,3,0,0
"1680","Independent",0.75,1,1,1,4,3,1,0
"1681","Democrat",0.25,2,2,2,4,3,1,1
"1682","Independent",0.75,1,1,2,1,1,0,1
